game_pk,date,game_time_utc,venue_id,venue_name,home_team,away_team,home_team_id,away_team_id,home_runs,away_runs,total_runs,home_sp_id,home_sp_name,away_sp_id,away_sp_name
745094,2024-05-10,2024-05-10T22:50:00Z,12,Tropicana Field,Tampa Bay Rays,New York Yankees,139,147,0,2,2,671737,Taj Bradley,657376,Clarke Schmidt
747043,2024-05-10,2024-05-10T23:05:00Z,2,Oriole Park at Camden Yards,Baltimore Orioles,Arizona Diamondbacks,110,109,4,2,6,608344,Cole Irvin,694297,Brandon Pfaadt
744940,2024-05-10,2024-05-10T23:07:00Z,14,Rogers Centre,Toronto Blue Jays,Minnesota Twins,141,142,2,3,5,579328,Yusei Kikuchi,657746,Joe Ryan
746964,2024-05-10,2024-05-10T23:10:00Z,3,Fenway Park,Boston Red Sox,Washington Nationals,111,120,1,5,6,656557,Tanner Houck,571578,Patrick Corbin
745827,2024-05-10,2024-05-10T23:10:00Z,3289,Citi Field,New York Mets,Atlanta Braves,121,144,2,4,6,500779,Jose Quintana,450203,Charlie Morton
746071,2024-05-10,2024-05-10T23:10:00Z,4169,loanDepot park,Miami Marlins,Philadelphia Phillies,146,143,2,8,10,669432,Trevor Rogers,624133,Ranger Suarez
746801,2024-05-10,2024-05-10T23:40:00Z,4,Guaranteed Rate Field,Chicago White Sox,Cleveland Guardians,145,114,6,3,9,676979,Garrett Crochet,471911,Carlos Carrasco
745993,2024-05-10,2024-05-11T00:10:00Z,32,American Family Field,Milwaukee Brewers,St. Louis Cardinals,158,138,11,2,13,688107,Robert Gasser,458681,Lance Lynn
746553,2024-05-10,2024-05-11T00:40:00Z,19,Coors Field,Colorado Rockies,Texas Rangers,115,140,4,2,6,596295,Austin Gomber,592351,Jon Gray
746240,2024-05-10,2024-05-11T01:38:00Z,1,Angel Stadium,Los Angeles Angels,Kansas City Royals,108,118,1,2,3,656288,Griffin Canning,679525,Alec Marsh
745421,2024-05-10,2024-05-11T01:40:00Z,2680,Petco Park,San Diego Padres,Los Angeles Dodgers,135,119,2,1,3,650633,Michael King,607192,Tyler Glasnow
