game_pk,date,venue_name,temp_f,wind_mph,wind_deg,wind_out,is_dome
746092,2024-09-22,Dodger Stadium,,,,False,False
745358,2024-09-22,Petco Park,,,,False,False
745767,2024-09-22,Citi Field,,,,False,False
744877,2024-09-25,Rogers Centre,,0.0,,False,True
745527,2024-09-23,Citizens Bank Park,,,,False,False
746421,2024-09-24,Comerica Park,,,,False,False
746581,2024-09-24,Progressive Field,,,,False,False
747144,2024-09-25,Chase Field,,0.0,,False,True
745526,2024-09-24,Citizens Bank Park,,,,False,False
745441,2024-09-24,PNC Park,,,,False,False
745688,2024-09-24,Yankee Stadium,,,,False,False
747068,2024-09-24,Truist Park,,,,False,False
744802,2024-09-24,Nationals Park,,,,False,False
746743,2024-09-24,Guaranteed Rate Field,,,,False,False
746504,2024-09-24,Coors Field,,,,False,False
745851,2024-09-24,Target Field,,,,False,False
745605,2024-09-24,Oakland Coliseum,,,,False,False
746093,2024-09-24,Dodger Stadium,,,,False,False
745521,2024-09-25,Citizens Bank Park,,,,False,False
746583,2024-09-25,Progressive Field,,,,False,False
746420,2024-09-25,Comerica Park,,,,False,False
744795,2024-09-25,Nationals Park,,,,False,False
745442,2024-09-25,PNC Park,,,,False,False
744879,2024-09-27,Rogers Centre,,0.0,,False,True
746501,2024-09-25,Coors Field,,,,False,False
745690,2024-09-25,Yankee Stadium,,,,False,False
745607,2024-09-25,Oakland Coliseum,,,,False,False
745854,2024-09-25,Target Field,,,,False,False
746742,2024-09-25,Guaranteed Rate Field,,,,False,False
746095,2024-09-25,Dodger Stadium,,,,False,False
745443,2024-09-26,PNC Park,,,,False,False
747145,2024-09-27,Chase Field,,0.0,,False,True
744796,2024-09-26,Nationals Park,,,,False,False
746415,2024-09-26,Comerica Park,,,,False,False
745609,2024-09-26,Oakland Coliseum,,,,False,False
746738,2024-09-26,Guaranteed Rate Field,,,,False,False
745691,2024-09-26,Yankee Stadium,,,,False,False
744878,2024-09-28,Rogers Centre,,0.0,,False,True
745853,2024-09-26,Target Field,,,,False,False
746495,2024-09-26,Coors Field,,,,False,False
746088,2024-09-26,Dodger Stadium,,,,False,False
746822,2024-09-27,Wrigley Field,,,,False,False
746417,2024-09-27,Comerica Park,,,,False,False
744797,2024-09-27,Nationals Park,,,,False,False
745692,2024-09-27,Yankee Stadium,,,,False,False
746904,2024-09-27,Fenway Park,,,,False,False
747146,2024-09-28,Chase Field,,0.0,,False,True
746580,2024-09-27,Progressive Field,,,,False,False
746173,2024-09-27,Angel Stadium,,,,False,False
746494,2024-09-27,Coors Field,,,,False,False
745847,2024-09-27,Target Field,,,,False,False
745930,2024-09-27,American Family Field,,,,False,False
747065,2024-09-27,Truist Park,,,,False,False
745280,2024-09-27,Oracle Park,,,,False,False
744880,2024-09-29,Rogers Centre,,0.0,,False,True
745202,2024-09-27,T-Mobile Park,,,,False,False
747147,2024-09-29,Chase Field,,0.0,,False,True
745281,2024-09-28,Oracle Park,,,,False,False
746414,2024-09-28,Comerica Park,,,,False,False
745685,2024-09-28,Yankee Stadium,,,,False,False
746819,2024-09-28,Wrigley Field,,,,False,False
744799,2024-09-28,Nationals Park,,,,False,False
746902,2024-09-28,Fenway Park,,,,False,False
745931,2024-09-28,American Family Field,,,,False,False
745849,2024-09-28,Target Field,,,,False,False
