game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
634346,2021-04-29,2021,Milwaukee Brewers,Los Angeles Dodgers,8.278858647937781,7.5,7.5,3,0.7788586479377813,OVER,False,False,-1.1,0.0,
634347,2021-04-29,2021,Atlanta Braves,Chicago Cubs,10.518205152149209,9.0,9.5,12,1.0182051521492088,OVER,True,False,1.0,0.5,0-0.5
634352,2021-04-29,2021,St. Louis Cardinals,Philadelphia Phillies,8.29005764543534,7.0,7.0,7,1.2900576454353399,OVER,False,True,0.0,0.0,
634300,2021-04-29,2021,Baltimore Orioles,New York Yankees,8.585593686695105,9.0,9.5,7,-0.9144063133048945,UNDER,True,False,1.0,-0.5,0-0.5
634328,2021-04-30,2021,Arizona Diamondbacks,Colorado Rockies,9.451176152820594,8.5,8.5,9,0.9511761528205938,OVER,True,False,1.0,0.0,
634274,2021-04-30,2021,Washington Nationals,Miami Marlins,9.373507009143836,8.0,8.5,3,0.8735070091438359,OVER,False,False,-1.1,0.5,0-0.5
634336,2021-04-30,2021,Philadelphia Phillies,New York Mets,9.745853887195594,8.5,8.5,3,1.2458538871955938,OVER,False,False,-1.1,0.0,
634316,2021-05-01,2021,San Diego Padres,San Francisco Giants,8.246955381031043,7.0,7.0,8,1.246955381031043,OVER,True,False,1.0,0.0,
634286,2021-05-01,2021,Arizona Diamondbacks,Colorado Rockies,9.911709294910438,8.0,8.5,20,1.4117092949104375,OVER,True,False,1.0,0.5,0-0.5
634312,2021-05-01,2021,Toronto Blue Jays,Atlanta Braves,9.495468602771766,10.5,10.5,11,-1.0045313972282344,UNDER,False,False,-1.1,-0.0,
634295,2021-05-01,2021,New York Yankees,Detroit Tigers,7.47615383684159,8.0,8.5,10,-1.0238461631584101,UNDER,False,False,-1.1,-0.5,0-0.5
634307,2021-05-01,2021,Tampa Bay Rays,Houston Astros,8.776254163379676,8.0,7.5,4,1.2762541633796758,OVER,False,False,-1.1,-0.5,0-0.5
634301,2021-05-02,2021,San Diego Padres,San Francisco Giants,7.802482591266639,6.5,7.0,8,0.8024825912666387,OVER,True,False,1.0,0.5,0-0.5
634340,2021-05-02,2021,Seattle Mariners,Los Angeles Angels,9.363536344165809,8.0,8.5,2,0.8635363441658086,OVER,False,False,-1.1,0.5,0-0.5
634268,2021-05-02,2021,Texas Rangers,Boston Red Sox,9.758517728443152,9.0,9.0,8,0.7585177284431524,OVER,False,False,-1.1,0.0,
634256,2021-05-02,2021,Toronto Blue Jays,Atlanta Braves,9.301170812244422,10.5,10.5,9,-1.1988291877555781,UNDER,True,False,1.0,-0.0,
634311,2021-05-02,2021,New York Yankees,Detroit Tigers,9.144672856922156,9.0,8.0,2,1.1446728569221563,OVER,False,False,-1.1,-1.0,0.5-1.0
634260,2021-05-02,2021,Pittsburgh Pirates,St. Louis Cardinals,9.393977628345496,8.5,8.0,3,1.393977628345496,OVER,False,False,-1.1,-0.5,0-0.5
634244,2021-05-03,2021,Philadelphia Phillies,Milwaukee Brewers,9.98255966722489,8.5,9.0,7,0.9825596672248906,OVER,False,False,-1.1,0.5,0-0.5
634324,2021-05-04,2021,Philadelphia Phillies,Milwaukee Brewers,8.993841634387977,7.5,7.5,11,1.4938416343879766,OVER,True,False,1.0,0.0,
634269,2021-05-04,2021,New York Yankees,Houston Astros,9.450136647815713,8.5,8.5,10,0.9501366478157127,OVER,True,False,1.0,0.0,
634220,2021-05-05,2021,Seattle Mariners,Baltimore Orioles,8.948206410999305,7.5,7.5,6,1.4482064109993047,OVER,False,False,-1.1,0.0,
634231,2021-05-06,2021,Oakland Athletics,Toronto Blue Jays,9.910501943225867,8.0,8.5,14,1.4105019432258672,OVER,True,False,1.0,0.5,0-0.5
634255,2021-05-06,2021,Boston Red Sox,Detroit Tigers,7.175595269794471,8.5,8.0,21,-0.8244047302055293,UNDER,False,False,-1.1,0.5,0-0.5
634283,2021-05-06,2021,Philadelphia Phillies,Milwaukee Brewers,7.717639909381873,7.0,6.5,2,1.217639909381873,OVER,False,False,-1.1,-0.5,0-0.5
634224,2021-05-06,2021,New York Yankees,Houston Astros,8.378737912769324,7.5,7.5,11,0.8787379127693242,OVER,True,False,1.0,0.0,
634263,2021-05-07,2021,Oakland Athletics,Tampa Bay Rays,8.279259191150672,8.0,7.5,3,0.7792591911506719,OVER,False,False,-1.1,-0.5,0-0.5
634200,2021-05-07,2021,St. Louis Cardinals,Colorado Rockies,8.40997837602616,7.0,7.5,5,0.9099783760261602,OVER,False,False,-1.1,0.5,0-0.5
634195,2021-05-07,2021,Miami Marlins,Milwaukee Brewers,7.356762395496375,7.0,6.5,7,0.856762395496375,OVER,True,False,1.0,-0.5,0-0.5
634204,2021-05-07,2021,Detroit Tigers,Minnesota Twins,10.300943837757115,9.0,9.0,10,1.3009438377571154,OVER,True,False,1.0,0.0,
634199,2021-05-08,2021,Atlanta Braves,Philadelphia Phillies,10.46897839128495,8.5,9.0,15,1.4689783912849492,OVER,True,False,1.0,0.5,0-0.5
634214,2021-05-08,2021,Detroit Tigers,Minnesota Twins,8.759848104114539,8.0,7.5,10,1.259848104114539,OVER,True,False,1.0,-0.5,0-0.5
634165,2021-05-08,2021,St. Louis Cardinals,Colorado Rockies,8.987422452564246,8.5,7.5,17,1.487422452564246,OVER,True,False,1.0,-1.0,0.5-1.0
634215,2021-05-08,2021,Miami Marlins,Milwaukee Brewers,8.879296765918738,8.0,8.0,8,0.8792967659187383,OVER,False,True,0.0,0.0,
634205,2021-05-09,2021,Los Angeles Angels,Los Angeles Dodgers,9.342109189624791,8.5,8.5,3,0.8421091896247912,OVER,False,False,-1.1,0.0,
634167,2021-05-09,2021,Kansas City Royals,Chicago White Sox,8.5569300514412,8.5,7.5,12,1.0569300514411992,OVER,True,False,1.0,-1.0,0.5-1.0
634192,2021-05-09,2021,Houston Astros,Toronto Blue Jays,10.494651303882604,9.0,9.0,11,1.4946513038826037,OVER,True,False,1.0,0.0,
634184,2021-05-09,2021,New York Mets,Arizona Diamondbacks,7.908565984363562,6.5,7.0,6,0.9085659843635616,OVER,False,False,-1.1,0.5,0-0.5
634177,2021-05-09,2021,Baltimore Orioles,Boston Red Sox,10.291528211231238,9.0,9.0,7,1.2915282112312383,OVER,False,False,-1.1,0.0,
