game_pk,date,season,home_team,away_team,predicted,open_total,close_total,actual_total,edge,bet,won,push,profit_units,clv,edge_bucket
634324,2021-05-04,2021,Philadelphia Phillies,Milwaukee Brewers,8.750309934492515,7.5,7.5,11,1.250309934492515,OVER,True,False,1.0,0.0,
634220,2021-05-05,2021,Seattle Mariners,Baltimore Orioles,8.644260999778906,7.5,7.5,6,1.144260999778906,OVER,False,False,-1.1,0.0,
634224,2021-05-06,2021,New York Yankees,Houston Astros,8.347531983490951,7.5,7.5,11,0.8475319834909509,OVER,True,False,1.0,0.0,
634214,2021-05-08,2021,Detroit Tigers,Minnesota Twins,8.38428967100283,8.0,7.5,10,0.8842896710028292,OVER,True,False,1.0,-0.5,0-0.5
634192,2021-05-09,2021,Houston Astros,Toronto Blue Jays,10.378947213597495,9.0,9.0,11,1.3789472135974954,OVER,True,False,1.0,0.0,
634153,2021-05-10,2021,San Francisco Giants,Texas Rangers,7.828057132952205,7.0,7.0,4,0.8280571329522051,OVER,False,False,-1.1,0.0,
634159,2021-05-11,2021,Milwaukee Brewers,St. Louis Cardinals,7.895052859627616,7.5,7.0,7,0.8950528596276159,OVER,False,True,0.0,-0.5,0-0.5
634147,2021-05-11,2021,Chicago White Sox,Minnesota Twins,8.81725115539439,8.5,7.5,12,1.3172511553943895,OVER,True,False,1.0,-1.0,0.5-1.0
634163,2021-05-11,2021,Atlanta Braves,Toronto Blue Jays,10.625880274675524,8.5,9.5,8,1.1258802746755237,OVER,False,False,-1.1,1.0,0.5-1.0
634144,2021-05-11,2021,Washington Nationals,Philadelphia Phillies,9.943564289247538,9.0,9.0,8,0.9435642892475382,OVER,False,False,-1.1,0.0,
634183,2021-05-12,2021,Arizona Diamondbacks,Miami Marlins,10.37548885378653,7.5,9.0,5,1.3754888537865302,OVER,False,False,-1.1,1.5,1.0-1.5
634125,2021-05-13,2021,Chicago White Sox,Minnesota Twins,8.880680042506345,7.5,7.5,6,1.380680042506345,OVER,False,False,-1.1,0.0,
634145,2021-05-14,2021,Los Angeles Dodgers,Miami Marlins,7.668762188805108,7.0,6.5,15,1.1687621888051076,OVER,True,False,1.0,-0.5,0-0.5
634068,2021-05-16,2021,Houston Astros,Texas Rangers,8.726544990247632,8.0,7.5,8,1.226544990247632,OVER,True,False,1.0,-0.5,0-0.5
634099,2021-05-17,2021,Texas Rangers,New York Yankees,9.08708863347579,8.0,8.0,7,1.0870886334757905,OVER,False,False,-1.1,0.0,
634052,2021-05-18,2021,Chicago Cubs,Washington Nationals,9.870117534548266,8.5,9.0,9,0.8701175345482657,OVER,False,True,0.0,0.5,0-0.5
634058,2021-05-18,2021,Cincinnati Reds,San Francisco Giants,9.121822111898334,8.5,8.0,6,1.121822111898334,OVER,False,False,-1.1,-0.5,0-0.5
634033,2021-05-19,2021,Los Angeles Dodgers,Arizona Diamondbacks,8.358538742189834,7.5,7.5,6,0.8585387421898343,OVER,False,False,-1.1,0.0,
634018,2021-05-20,2021,Toronto Blue Jays,Boston Red Sox,9.167599717851743,10.0,10.0,15,-0.8324002821482566,UNDER,False,False,-1.1,-0.0,
633989,2021-05-23,2021,Cincinnati Reds,Milwaukee Brewers,9.483842928597928,8.5,8.0,13,1.4838429285979284,OVER,True,False,1.0,-0.5,0-0.5
633992,2021-05-24,2021,Milwaukee Brewers,San Diego Padres,8.364548313352383,7.0,7.0,8,1.3645483133523832,OVER,True,False,1.0,0.0,
633965,2021-05-25,2021,Washington Nationals,Cincinnati Reds,8.515853793970187,7.5,7.5,3,1.0158537939701873,OVER,False,False,-1.1,0.0,
633939,2021-05-26,2021,Arizona Diamondbacks,San Francisco Giants,7.973802833986348,8.5,9.0,9,-1.0261971660136524,UNDER,False,True,0.0,-0.5,0-0.5
633993,2021-05-26,2021,Boston Red Sox,Atlanta Braves,10.010822144971508,9.5,11.0,14,-0.9891778550284922,UNDER,False,False,-1.1,-1.5,1.0-1.5
633910,2021-05-27,2021,New York Yankees,Toronto Blue Jays,8.298453727856987,7.0,7.0,8,1.2984537278569874,OVER,True,False,1.0,0.0,
633937,2021-05-27,2021,Milwaukee Brewers,San Diego Padres,9.358547203180546,8.0,8.0,11,1.358547203180546,OVER,True,False,1.0,0.0,
633888,2021-05-27,2021,Pittsburgh Pirates,Chicago Cubs,8.466537600446221,8.0,7.5,8,0.9665376004462214,OVER,True,False,1.0,-0.5,0-0.5
633912,2021-05-27,2021,New York Mets,Colorado Rockies,6.223121283538356,5.0,5.0,6,1.2231212835383563,OVER,True,False,1.0,0.0,
633997,2021-05-28,2021,Seattle Mariners,Texas Rangers,9.274389234199775,9.0,8.5,5,0.7743892341997753,OVER,False,False,-1.1,-0.5,0-0.5
633947,2021-05-29,2021,Seattle Mariners,Texas Rangers,9.308334815567322,8.5,8.5,5,0.8083348155673225,OVER,False,False,-1.1,0.0,
633949,2021-05-29,2021,Detroit Tigers,New York Yankees,7.20384145466439,8.5,8.5,7,-1.2961585453356097,UNDER,True,False,1.0,-0.0,
633849,2021-05-31,2021,Seattle Mariners,Oakland Athletics,7.571451386430032,8.5,8.5,11,-0.9285486135699683,UNDER,False,False,-1.1,-0.0,
633863,2021-06-01,2021,Atlanta Braves,Washington Nationals,9.743770366196513,8.0,8.5,17,1.2437703661965127,OVER,True,False,1.0,0.5,0-0.5
633834,2021-06-02,2021,Arizona Diamondbacks,New York Mets,9.282860647587311,8.5,8.5,13,0.7828606475873112,OVER,True,False,1.0,0.0,
633832,2021-06-03,2021,Los Angeles Angels,Seattle Mariners,9.89177209975284,8.5,9.0,8,0.8917720997528402,OVER,False,False,-1.1,0.5,0-0.5
633816,2021-06-04,2021,San Diego Padres,New York Mets,8.940017575514549,7.5,7.5,2,1.440017575514549,OVER,False,False,-1.1,0.0,
633840,2021-06-04,2021,Chicago White Sox,Detroit Tigers,7.178384366797751,8.5,8.5,17,-1.3216156332022493,UNDER,False,False,-1.1,-0.0,
633862,2021-06-04,2021,Philadelphia Phillies,Washington Nationals,7.785925269918427,6.5,7.0,3,0.7859252699184269,OVER,False,False,-1.1,0.5,0-0.5
633886,2021-06-05,2021,San Francisco Giants,Chicago Cubs,8.84338047815935,7.5,7.5,7,1.3433804781593501,OVER,False,False,-1.1,0.0,
633795,2021-06-05,2021,Philadelphia Phillies,Washington Nationals,9.218148221191331,9.0,10.0,7,-0.7818517788086687,UNDER,True,False,1.0,-1.0,0.5-1.0
633800,2021-06-05,2021,Toronto Blue Jays,Houston Astros,8.948761070016886,9.5,10.0,8,-1.0512389299831142,UNDER,True,False,1.0,-0.5,0-0.5
633802,2021-06-06,2021,Texas Rangers,Tampa Bay Rays,9.289467428135294,8.0,8.0,8,1.2894674281352945,OVER,False,True,0.0,0.0,
633812,2021-06-06,2021,New York Yankees,Boston Red Sox,8.54206430912425,9.0,9.5,11,-0.9579356908757504,UNDER,False,False,-1.1,-0.5,0-0.5
633780,2021-06-06,2021,Toronto Blue Jays,Houston Astros,8.409285619585619,10.0,9.5,9,-1.090714380414381,UNDER,True,False,1.0,0.5,0-0.5
633810,2021-06-06,2021,Atlanta Braves,Los Angeles Dodgers,9.33205256844275,8.0,8.5,6,0.8320525684427498,OVER,False,False,-1.1,0.5,0-0.5
633779,2021-06-07,2021,San Diego Padres,Chicago Cubs,8.81113221399584,7.5,8.0,13,0.8111322139958403,OVER,True,False,1.0,0.5,0-0.5
634072,2021-06-07,2021,Boston Red Sox,Miami Marlins,8.56810725679849,8.5,10.0,8,-1.4318927432015105,UNDER,True,False,1.0,-1.5,1.0-1.5
633826,2021-06-08,2021,Los Angeles Angels,Kansas City Royals,9.40679192483298,9.0,8.5,9,0.9067919248329801,OVER,True,False,1.0,-0.5,0-0.5
633777,2021-06-08,2021,San Diego Padres,Chicago Cubs,9.212439029183892,7.5,8.0,8,1.2124390291838925,OVER,False,True,0.0,0.5,0-0.5
